decision,id,sourceFile,sourceIndex,reviewStatusBefore,section,domain,skill,canonicalSkill,microSkill,difficulty,questionType,targetBand,modulePlacement,estimatedTimeSeconds,desmosUseful,calculatorTags,failures,tagIssues,tagChanges,requiredAction,promptWords,explanationWords,correctExplanationWords,distractorExplanationCount
kept_reviewed,antigravity-3313e793,antigravity-bank.json,0,reviewed,Reading and Writing,Craft and Structure,Cross-Text Connections,Cross-Text Connections,predicted response,Hard,multiple_choice,SAT-Elite,module2_upper,118,,,,,,Expert review required before approval.,185,254,94,3
kept_reviewed,antigravity-f9d22161,antigravity-bank.json,1,reviewed,Reading and Writing,Craft and Structure,Cross-Text Connections,Cross-Text Connections,predicted response,Hard,multiple_choice,SAT-Elite,module2_upper,114,,,,,,Expert review required before approval.,168,188,73,3
kept_reviewed,antigravity-e9d4c637,antigravity-bank.json,2,reviewed,Reading and Writing,Craft and Structure,Cross-Text Connections,Cross-Text Connections,predicted response,Hard,multiple_choice,SAT-Elite,module2_upper,114,,,,,,Expert review required before approval.,167,223,90,3
kept_reviewed,antigravity-f077136f,antigravity-bank.json,3,reviewed,Reading and Writing,Craft and Structure,Cross-Text Connections,Cross-Text Connections,predicted response,Hard,multiple_choice,SAT-Elite,module2_upper,119,,,,,,Expert review required before approval.,187,179,62,3
kept_reviewed,antigravity-ed45fe8d,antigravity-bank.json,4,reviewed,Reading and Writing,Craft and Structure,Cross-Text Connections,Cross-Text Connections,predicted response,Hard,multiple_choice,SAT-Elite,module2_upper,119,,,,,,Expert review required before approval.,188,284,87,3
kept_reviewed,antigravity-72e8436f,antigravity-bank.json,5,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,95,,,,,,Expert review required before approval.,85,198,60,3
kept_reviewed,antigravity-08d47d6b,antigravity-bank.json,6,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,102,,,,,,Expert review required before approval.,121,187,54,3
kept_reviewed,antigravity-6576b981,antigravity-bank.json,7,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,102,,,,,,Expert review required before approval.,121,205,69,3
kept_reviewed,antigravity-1d29deb1,antigravity-bank.json,8,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,100,,,,,,Expert review required before approval.,111,144,33,3
kept_reviewed,antigravity-1e56c93c,antigravity-bank.json,9,reviewed,Reading and Writing,Expression of Ideas,Rhetorical Synthesis,Rhetorical Synthesis,goal-specific selection,Hard,multiple_choice,SAT-Advanced,module2_upper,107,,,,,,Expert review required before approval.,139,151,43,3
