id,sourceIndex,decision,practicePool,keeperId,section,domain,skill,topic,correctAnswer,explanationWords,distractorCount,issues,warnings,depthFlags
antigravity-1600-046d3804,3081,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential doubling model,A,165,3,,,
antigravity-1600-301418e0,3082,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,A,166,3,,,
antigravity-1600-06d135e3,3083,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential decay base rewrite,A,150,3,,,
antigravity-1600-b9dc8f7e,3084,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality constraints,A,126,3,,,
antigravity-1600-91d5d996,3085,reviewed_core,core_pool,,Math,Algebra,Linear inequalities in one or two variables,linear inequality region conditions,A,174,3,,,
antigravity-1600-0e6d4824,3086,reviewed_core,core_pool,,Math,Advanced Math,Equivalent expressions,rational expression rewrite,A,175,3,,,
antigravity-1600-34bfc8a9,3087,reviewed_core,core_pool,,Math,Advanced Math,Equivalent expressions,polynomial remainder theorem,A,159,3,,,
antigravity-1600-b275eda3,3088,reviewed_core,core_pool,,Math,Advanced Math,Equivalent expressions,radical expression rewrite,A,150,3,,,
antigravity-1600-62a0dae9,3089,reviewed_core,core_pool,,Math,Algebra,Systems of two linear equations in two variables,linear system no-solution condition,A,199,3,,,
antigravity-1600-ae791745,3090,reviewed_core,core_pool,,Math,Algebra,Systems of two linear equations in two variables,symmetric linear system,A,175,3,,,
antigravity-1600-c55bd9f2,3091,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,A,217,3,,,
antigravity-1600-9b7febc5,3092,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,B,219,3,,,
antigravity-1600-69964d0d,3093,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,A,217,3,,,
antigravity-1600-627a546f,3094,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,B,219,3,,,
antigravity-1600-e08db4ce,3095,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,D,219,3,,,
antigravity-1600-9608facb,3096,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,D,219,3,,,
antigravity-1600-2c4f2419,3097,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,D,219,3,,,
antigravity-1600-73a77f03,3098,reviewed_core,core_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,C,219,3,,,
antigravity-1600-7746d79c,3099,reviewed_remedial,remedial_pool,,Math,Advanced Math,Nonlinear functions,exponential growth model,D,219,3,,,
