id,domain,skill,difficulty,pendingAction,p0Repaired,p1Upgraded,readyForGate,remainingHardIssues,warnings,calculatorTag,desmosSkill,trapTag,routeTag
antigravity-hard-df1c217b,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-77578f0e,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-a3b56013,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,parameter_vs_solution,evidence_first
antigravity-hard-8f47102a,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-28c29662,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-b183900c,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-daeb9c2a,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-1a4b2719,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-aabe7c01,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-33c0c666,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-5fd39bf0,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-1fe5d05b,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-4b0d194c,Algebra,Systems of two linear equations in two variables,Hard,Resolve warning or send to human expert spot-check.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-b2f74dd4,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-7d84759b,Algebra,Systems of two linear equations in two variables,Hard,Resolve warning or send to human expert spot-check.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-893cacfb,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-5ceb427b,Algebra,Systems of two linear equations in two variables,Hard,Resolve warning or send to human expert spot-check.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-9a8592a6,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-8265b57e,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-b857af6e,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-f23c8328,Algebra,Systems of two linear equations in two variables,Hard,Resolve warning or send to human expert spot-check.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-8f681373,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-d9dfa202,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-4f1a92dd,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-dd7a9745,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-75062930,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-d9b08d08,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-d1dbcd44,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-fe645c8e,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
antigravity-hard-449536e2,Algebra,Systems of two linear equations in two variables,Hard,Expand the correct-answer explanation so the item can teach self-study.,True,True,True,,,not_applicable,not_applicable,system_setup,evidence_first
