"severity","code","questionId","sourceFile","topicId","field","path","message"
"warning","import.source.unmapped_blocks","","24-chuyen-de-dai-so-boi-duong-hoc-sinh-gioi-toan-9-va-on-thi-vao-lop-10/ĐS-Chuyên đề 24.THỰC TẾ ĐẠI SỐ.doc","math9.assessment.exam10_synthesis","","import.issues[0]","1 exercise blocks were not mapped to a topic."
"warning","import.source.unmapped_blocks","","Các bài toán đại số lớp 9 bồi dưỡng hsg.pdf","","","import.issues[1]","264 exercise blocks were not mapped to a topic."
"warning","import.source.unmapped_blocks","","Các bài toán nâng cao hình học 9 theo chuyên đề.pdf","","","import.issues[2]","157 exercise blocks were not mapped to a topic."
"warning","import.source.unmapped_blocks","","tai lieu boi duong hoc sinh gioi may tinh bo tui THCS.pdf","math9.assessment.exam10_synthesis","","import.issues[3]","2 exercise blocks were not mapped to a topic."
"warning","import.source.no_exercise_blocks","","on vao 10/CHƯƠNG IV. CHÙM BÀI TOÁN LIÊN QUAN ĐIỂM, ĐƯỜNG ĐẶC BIỆT TRONG TAM GIÁC, TIẾP TUYẾN CẮT TUYẾN CỦA ĐƯỜNG TRÒN.pdf","math9.geometry.cyclic_tangent_secant","","import.issues[4]","No exercise blocks were detected in this source."
"warning","import.source.no_exercise_blocks","","on vao 10/he-thong-cac-khai-niem-co-ban-va-dinh-ly-hinh-hoc-thcs-hinh-hoc-phang.pdf","math9.geometry.proof_synthesis","","import.issues[5]","No exercise blocks were detected in this source."
"warning","import.source.no_exercise_blocks","","on vao 10/phuong-phap-dirichle-va-ung-dung-nguyen-huu-dien.pdf","math9.advanced.number_theory","","import.issues[6]","No exercise blocks were detected in this source."
"warning","import.source.unmapped_blocks","","on vao 10/tai lieu boi duong hoc sinh gioi may tinh bo tui THCS.pdf","math9.assessment.exam10_synthesis","","import.issues[7]","2 exercise blocks were not mapped to a topic."
"warning","import.source.no_exercise_blocks","","on vao 10/Toan thực tế THCS.pdf","math9.algebra.word_problem_systems","","import.issues[8]","No exercise blocks were detected in this source."
"blocker","pedagogy.scored_practice_not_ready","math9.algebra_systems.nang_cao_ky_nang_dat_an_phu_giai_phuong_.0545bo0.001","nang-cao-ky-nang-dat-an-phu-giai-phuong-trinh-he-phuong-trinh-metoan.com.docx","math9.algebra.systems","pedagogy","questions[0]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.algebra_systems.nang_cao_ky_nang_dat_an_phu_giai_phuong_.0545bo0.002","nang-cao-ky-nang-dat-an-phu-giai-phuong-trinh-he-phuong-trinh-metoan.com.docx","math9.algebra.systems","pedagogy","questions[1]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.algebra_systems.nang_cao_ky_nang_dat_an_phu_giai_phuong_.0545bo0.003","nang-cao-ky-nang-dat-an-phu-giai-phuong-trinh-he-phuong-trinh-metoan.com.docx","math9.algebra.systems","pedagogy","questions[2]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.geometry_cyclic_tangent_secant.on_vao_10_chuyen_de_duong_tron_on_thi_va.1cxrgv5.010","on vao 10/chuyen-de-duong-tron-on-thi-vao-lop-10.doc","math9.geometry.cyclic_tangent_secant","pedagogy","questions[12]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.009","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[58]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.010","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[59]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.011","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[60]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.012","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[61]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.013","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[62]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.014","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[63]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.015","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[64]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.081","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[130]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.085","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[134]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.086","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[135]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
"blocker","pedagogy.scored_practice_not_ready","math9.assessment_exam10_synthesis.thuvienhoclieu_com_bo_10_de_kiem_tra_hk2.13a0vto.087","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","math9.assessment.exam10_synthesis","pedagogy","questions[136]","Question is not ready for scored Math 9 practice; missing correct answer, source solution."
