"status","sourceFile","extension","questions","displayReady","sourceSolutions","correctAnswers","scoredPracticeReady","blockers","warnings","formulaAssets","rawOleMarkers","formulaRecoveryGap","missingFormulaAssets","needsFormulaReview","needsOriginalImage","needsTextEncodingReview"
"needs_repair","nang-cao-ky-nang-dat-an-phu-giai-phuong-trinh-he-phuong-trinh-metoan.com.docx","docx","3","3","0","0","0","3","0","16","227","0","0","0","0","0"
"needs_repair","on vao 10/chuyen-de-duong-tron-on-thi-vao-lop-10.doc","doc","20","20","19","19","19","1","0","207","809","0","0","0","0","0"
"ready","on vao 10/chuyen-de-phuong-trinh-vo-ty-on-thi-vao-lop-10.doc","doc","27","27","27","27","27","0","0","81","1455","0","0","0","0","0"
"needs_repair","thuvienhoclieu.com-Bo-10-de-kiem-tra-HK2-Toan-9-nam-25-26.docx","docx","172","172","118","118","118","54","0","599","1564","0","0","0","0","0"
"ready","thuvienhoclieu.com-CHUYEN-DE-1-CAN-BAC-HAI-VA-CAN-THUC-BAC-HAI.docx","docx","39","39","39","39","39","0","0","191","519","0","0","0","0","0"
"ready","thuvienhoclieu.com-CHUYEN-DE-10-PHUONG-TRINH-CHUA-CAN-THUC.docx","docx","46","46","46","46","46","0","0","114","529","0","0","0","0","0"
"needs_repair","thuvienhoclieu.com-CHUYEN-DE-11-PHUONG-TRINH-CHUA-CAN-THUC-p2.docx","docx","112","112","103","103","103","9","0","384","1319","0","0","0","0","0"
"needs_repair","thuvienhoclieu.com-CHUYEN-DE-12-PHUONG-TRINH-VA-BAT-PHUONG-TRINH.docx.docx","docx","271","271","259","259","259","12","0","1293","4254","0","0","0","0","0"
"needs_repair","thuvienhoclieu.com-CHUYEN-DE-13-GIAI-BAI-TOAN-BANG-CACH-LAP-HPT.docx","docx","118","118","115","115","115","3","0","879","2608","0","0","0","0","0"
"needs_repair","thuvienhoclieu.com-CHUYEN-DE-14-PHUONG-TRINH-BAC-NHAT-HAI-AN.docx","docx","68","68","67","67","67","1","0","355","855","0","0","0","0","0"
"needs_repair","thuvienhoclieu.com-CHUYEN-DE-15-HE-PHUONG-TRINH.docx","docx","158","158","143","143","143","15","0","706","2176","0","0","0","0","0"
"needs_repair","thuvienhoclieu.com-CHUYEN-DE-16-HE-THUC-LUONG-TRONG-TAM-GIAC-VUONG.docx","docx","153","153","135","135","135","18","0","899","1776","0","0","0","0","0"
"needs_repair","thuvienhoclieu.com-CHUYEN-DE-17-UNG-DUNG-THUC-TE-HE-THUC-LUONG-TRONG-TAM-GIAC-VUONG.docx","docx","61","61","60","60","60","1","0","307","740","0","0","0","0","0"
"needs_repair","thuvienhoclieu.com-CHUYEN-DE-18-CAC-DANG-BAI-TAP-HE-THUC-LUONG-TRONG-TAM-GIAC-VUONG.docx","docx","19","19","18","18","18","1","0","140","1703","0","0","0","0","0"
"needs_repair","thuvienhoclieu.com-CHUYEN-DE-2-CAN-BAC-HAI.docx","docx","31","31","29","29","29","2","0","156","404","0","0","0","0","0"
"needs_repair","thuvienhoclieu.com-CHUYEN-DE-3-CAC-PHEP-BIEN-DOI-BIEU-THUC-CHUA-CAN.docx","docx","66","66","65","65","65","1","0","320","670","0","0","0","0","0"
"ready","thuvienhoclieu.com-CHUYEN-DE-4-CAC-PHEP-BIEN-DOI-BIEU-THUC-CHUA-CAN-p2.docx","docx","63","63","63","63","63","0","0","320","702","0","0","0","0","0"
"ready","thuvienhoclieu.com-CHUYEN-DE-5-RUT-GON-BIEU-THUC.docx","docx","30","30","30","30","30","0","0","190","723","0","0","0","0","0"
"ready","thuvienhoclieu.com-CHUYEN-DE-6-RUT-GON-VA-CAC-CAU-HOI-SAU-BAI-TOAN-RUT-GON-p2.docx","docx","92","92","92","92","92","0","0","508","1380","0","0","0","0","0"
"ready","thuvienhoclieu.com-CHUYEN-DE-8-CAN-BAC-BA.docx","docx","34","34","34","34","34","0","0","130","242","0","0","0","0","0"
